n,t
1000,9.60088e-08
2000,1.10579e-07
3000,1.23608e-07
4000,1.31788e-07
5000,1.40691e-07
6000,1.4843e-07
7000,1.55778e-07
8000,1.61419e-07
9000,1.67491e-07
10000,1.7288e-07
11000,1.79691e-07
12000,1.8338e-07
13000,1.90001e-07
14000,1.95551e-07
15000,1.99561e-07
16000,2.04918e-07
17000,2.10459e-07
18000,2.17471e-07
19000,2.20349e-07
20000,2.27151e-07
21000,2.30229e-07
22000,2.35062e-07
23000,2.3895e-07
24000,2.45202e-07
25000,2.48449e-07
26000,2.50809e-07
27000,2.55299e-07
28000,2.59361e-07
29000,2.60601e-07
30000,2.66409e-07
31000,2.6716e-07
32000,2.7034e-07
33000,2.7257e-07
34000,2.7565e-07
35000,2.77781e-07
36000,2.7966e-07
37000,2.81169e-07
38000,2.83549e-07
39000,2.85668e-07
40000,2.87471e-07
41000,2.88479e-07
42000,2.90079e-07
43000,2.94878e-07
44000,2.92609e-07
45000,2.9501e-07
46000,2.95582e-07
47000,2.97351e-07
48000,2.99518e-07
49000,3.00109e-07
50000,3.01802e-07
51000,3.03378e-07
52000,3.0581e-07
53000,3.0612e-07
54000,3.08909e-07
55000,3.0899e-07
56000,3.10402e-07
57000,3.12121e-07
58000,3.11849e-07
59000,3.13809e-07
60000,3.15909e-07
61000,3.15919e-07
62000,3.18749e-07
63000,3.1919e-07
64000,3.24502e-07
65000,3.2243e-07
66000,3.23491e-07
67000,3.24969e-07
68000,3.2572e-07
69000,3.26271e-07
70000,3.27191e-07
71000,3.29449e-07
72000,3.30391e-07
73000,3.32959e-07
74000,3.33488e-07
75000,3.34001e-07
76000,3.35488e-07
77000,3.38869e-07
78000,3.37448e-07
79000,3.38001e-07
80000,3.40691e-07
81000,3.3922e-07
82000,3.3999e-07
83000,3.41699e-07
84000,3.4266e-07
85000,3.42109e-07
86000,3.44908e-07
87000,3.4585e-07
88000,3.4831e-07
89000,3.4812e-07
90000,3.5012e-07
91000,3.5162e-07
