n,t
1000000,0.010300
995000,0.114638
990000,0.221882
985000,0.318342
980000,0.424455
975000,0.522291
970000,0.628109
965000,0.727103
960000,0.823607
955000,0.925308
950000,1.024216
945000,1.122511
940000,1.232872
935000,1.330476
930000,1.430266
925000,1.529676
920000,1.629907
915000,1.727843
910000,1.826196
905000,1.923293
900000,2.025551
895000,2.123449
890000,2.225477
885000,2.324447
880000,2.423014
875000,2.521472
870000,2.619177
865000,2.716414
860000,2.814193
855000,2.911046
850000,3.011970
845000,3.119018
840000,3.223985
835000,3.325440
830000,3.423080
825000,3.521585
820000,3.621072
815000,3.721621
810000,3.818191
805000,3.924955
800000,4.022697
795000,4.120825
790000,4.222757
785000,4.319460
780000,4.417943
775000,4.519815
770000,4.615997
765000,4.715429
760000,4.814871
755000,4.911146
750000,5.008767
745000,5.107123
740000,5.219451
735000,5.316107
730000,5.413035
725000,5.512815
720000,5.609844
715000,5.708868
710000,5.818467
705000,5.919870
700000,6.019829
695000,6.118309
690000,6.221178
685000,6.318056
680000,6.417712
675000,6.514811
670000,6.611923
665000,6.709231
660000,6.813091
655000,6.909197
650000,7.005912
645000,7.102824
640000,7.204983
635000,7.304840
630000,7.402929
625000,7.500858
620000,7.600673
615000,7.698999
610000,7.797767
605000,7.900136
600000,7.997568
595000,8.094695
590000,8.197837
585000,8.295650
580000,8.397192
575000,8.495048
570000,8.592830
565000,8.698093
560000,8.796262
555000,8.894436
550000,8.993058
545000,9.091690
540000,9.192078
535000,9.301254
530000,9.406672
525000,9.507296
520000,9.604456
515000,9.704257
510000,9.801707
505000,9.900481
500000,9.999635
495000,10.098633
490000,10.196853
485000,10.296862
480000,10.392134
475000,10.492800
470000,10.589439
465000,10.687069
460000,10.784276
455000,10.880439
450000,10.980389
445000,11.079651
440000,11.176692
435000,11.277521
430000,11.372815
425000,11.468844
420000,11.567711
415000,11.664913
410000,11.764651
405000,11.861470
400000,11.957294
395000,12.056357
390000,12.154921
385000,12.254827
380000,12.350169
375000,12.446093
370000,12.541956
365000,12.642642
360000,12.740438
355000,12.836083
350000,12.933038
345000,13.028462
340000,13.126275
335000,13.227519
330000,13.328990
325000,13.424424
320000,13.524277
315000,13.620949
310000,13.719296
305000,13.816181
300000,13.915481
295000,14.011619
290000,14.107469
285000,14.207748
280000,14.308188
275000,14.409514
270000,14.506948
265000,14.602726
260000,14.699181
255000,14.797678
250000,14.900093
245000,14.996837
240000,15.093345
235000,15.191111
230000,15.294780
225000,15.393416
220000,15.490069
215000,15.586507
210000,15.682214
205000,15.780448
200000,15.877201
195000,15.972577
190000,16.068347
185000,16.169330
180000,16.272505
175000,16.368790
170000,16.464101
165000,16.558139
160000,16.653071
155000,16.748621
150000,16.847136
145000,16.941111
140000,17.035164
135000,17.130094
130000,17.232842
125000,17.326140
120000,17.422001
115000,17.517282
110000,17.611353
105000,17.704013
100000,17.798368
95000,17.894411
90000,17.988223
85000,18.085683
80000,18.188801
75000,18.286516
70000,18.380701
65000,18.475724
60000,18.571243
55000,18.668364
50000,18.765798
45000,18.858608
40000,18.951352
35000,19.047553
30000,19.139944
25000,19.236279
20000,19.327851
15000,19.420031
10000,19.515392
5000,19.616666
