n,t
1000000,1.128416
995000,1.134437
990000,1.142005
985000,1.150584
980000,1.159333
975000,1.167926
970000,1.176404
965000,1.184728
960000,1.192908
955000,1.201181
950000,1.209325
945000,1.217409
940000,1.225497
935000,1.233591
930000,1.241591
925000,1.249631
920000,1.257646
915000,1.265822
910000,1.274313
905000,1.282648
900000,1.291073
895000,1.299299
890000,1.307528
885000,1.315709
880000,1.323818
875000,1.331782
870000,1.339809
865000,1.347761
860000,1.355708
855000,1.363694
850000,1.371589
845000,1.379445
840000,1.387203
835000,1.395006
830000,1.402742
825000,1.410546
820000,1.418254
815000,1.425962
810000,1.433665
805000,1.441388
800000,1.449081
795000,1.456993
790000,1.465024
785000,1.473043
780000,1.481094
775000,1.489013
770000,1.496922
765000,1.504789
760000,1.512630
755000,1.520637
750000,1.528653
745000,1.536591
740000,1.544475
735000,1.552324
730000,1.560163
725000,1.568213
720000,1.576206
715000,1.584099
710000,1.591949
705000,1.599736
700000,1.607491
695000,1.615167
690000,1.622839
685000,1.630497
680000,1.638038
675000,1.645618
670000,1.653196
665000,1.660715
660000,1.668213
655000,1.675721
650000,1.683290
645000,1.690767
640000,1.698295
635000,1.705752
630000,1.713281
625000,1.720701
620000,1.728155
615000,1.735571
610000,1.742956
605000,1.750366
600000,1.757920
595000,1.765560
590000,1.773238
585000,1.780856
580000,1.788430
575000,1.795977
570000,1.803533
565000,1.810964
560000,1.818428
555000,1.825812
550000,1.833238
545000,1.840546
540000,1.847856
535000,1.855194
530000,1.862818
525000,1.870895
520000,1.879167
515000,1.887264
510000,1.895139
505000,1.902866
500000,1.910612
495000,1.918270
490000,1.925882
485000,1.933490
480000,1.941198
475000,1.948892
470000,1.956603
465000,1.964281
460000,1.972037
455000,1.979804
450000,1.987580
445000,1.995995
440000,2.003901
435000,2.011808
430000,2.019664
425000,2.027498
420000,2.035342
415000,2.043307
410000,2.051424
405000,2.059436
400000,2.067318
395000,2.075364
390000,2.083219
385000,2.090931
380000,2.098603
375000,2.106365
370000,2.114183
365000,2.121841
360000,2.129726
355000,2.138940
350000,2.147207
345000,2.154943
340000,2.162558
335000,2.170058
330000,2.177736
325000,2.185216
320000,2.192634
315000,2.200016
310000,2.207458
305000,2.214779
300000,2.222149
295000,2.229407
290000,2.236878
285000,2.244451
280000,2.251972
275000,2.259528
270000,2.267150
265000,2.274557
260000,2.281922
255000,2.289287
250000,2.296779
245000,2.304473
240000,2.311987
235000,2.319312
230000,2.326461
225000,2.333452
220000,2.340543
215000,2.347578
210000,2.354632
205000,2.361525
200000,2.368357
195000,2.375049
190000,2.381824
185000,2.388759
180000,2.395557
175000,2.402407
170000,2.409361
165000,2.416285
160000,2.423372
155000,2.430289
150000,2.437015
145000,2.443781
140000,2.450370
135000,2.456865
130000,2.463341
125000,2.469725
120000,2.476052
115000,2.482257
110000,2.488445
105000,2.494585
100000,2.500665
95000,2.506694
90000,2.512685
85000,2.518530
80000,2.524309
75000,2.530028
70000,2.535586
65000,2.541142
60000,2.546526
55000,2.551927
50000,2.557201
45000,2.562350
40000,2.567587
35000,2.572802
30000,2.577831
25000,2.582712
20000,2.587375
15000,2.591989
10000,2.596265
5000,2.600195
