n,t
1000,0.102240
2000,0.102723
3000,0.103216
4000,0.103699
5000,0.104225
6000,0.104729
7000,0.105267
8000,0.105784
9000,0.106336
10000,0.106910
11000,0.107474
12000,0.108016
13000,0.108588
14000,0.109167
15000,0.109735
16000,0.110316
17000,0.110880
18000,0.111498
19000,0.112353
20000,0.112931
21000,0.113558
22000,0.114162
23000,0.114739
24000,0.115351
25000,0.116199
26000,0.116820
27000,0.117438
28000,0.118048
29000,0.118648
30000,0.119277
31000,0.119898
32000,0.120771
33000,0.121419
34000,0.122029
35000,0.122668
36000,0.123313
37000,0.123926
38000,0.124837
39000,0.125488
40000,0.126180
41000,0.126803
42000,0.127453
43000,0.128131
44000,0.129068
45000,0.129722
46000,0.130403
47000,0.131066
48000,0.131720
49000,0.132384
50000,0.133306
51000,0.133951
52000,0.134629
53000,0.135334
54000,0.135989
55000,0.136673
56000,0.137358
57000,0.138429
58000,0.139115
59000,0.139826
60000,0.140512
61000,0.141211
62000,0.141875
63000,0.142951
64000,0.143681
65000,0.144425
66000,0.145122
67000,0.145798
68000,0.146499
69000,0.147569
70000,0.148278
71000,0.148980
72000,0.149699
73000,0.150410
74000,0.151125
75000,0.151811
76000,0.152768
77000,0.153511
78000,0.154229
79000,0.154917
80000,0.155638
81000,0.156366
82000,0.157349
83000,0.158123
84000,0.158833
85000,0.159553
86000,0.160300
87000,0.161006
88000,0.162004
89000,0.162786
90000,0.163519
91000,0.164259
92000,0.164973
93000,0.165713
94000,0.166461
95000,0.167488
96000,0.168229
97000,0.168947
98000,0.169721
99000,0.170467
100000,0.171219
101000,0.172250
102000,0.172984
103000,0.173778
104000,0.174530
105000,0.175296
106000,0.176033
107000,0.176823
108000,0.177828
109000,0.178595
110000,0.179362
111000,0.180145
112000,0.180897
113000,0.181716
114000,0.182754
115000,0.183524
116000,0.184300
117000,0.185071
118000,0.185827
119000,0.186630
120000,0.187410
121000,0.188485
122000,0.189276
123000,0.190082
124000,0.190841
125000,0.191654
126000,0.192444
127000,0.193479
128000,0.194268
129000,0.195033
130000,0.195825
131000,0.196639
132000,0.197432
133000,0.198483
134000,0.199278
135000,0.200095
136000,0.200868
137000,0.201705
138000,0.202507
139000,0.203342
140000,0.204409
141000,0.205225
142000,0.206009
143000,0.206836
144000,0.207640
145000,0.208457
146000,0.209529
147000,0.210357
148000,0.211175
149000,0.211996
150000,0.212809
151000,0.213639
152000,0.214460
153000,0.215543
154000,0.216384
155000,0.217207
156000,0.218010
157000,0.218863
158000,0.219711
159000,0.220593
160000,0.221689
161000,0.222533
162000,0.223370
163000,0.224204
164000,0.225024
165000,0.225880
166000,0.226979
167000,0.227817
168000,0.228659
169000,0.229513
170000,0.230397
171000,0.231240
172000,0.232092
173000,0.233233
174000,0.234076
175000,0.234928
176000,0.235781
177000,0.236640
178000,0.237484
179000,0.238582
180000,0.239496
181000,0.240362
182000,0.241218
183000,0.242075
184000,0.242930
185000,0.243788
186000,0.244905
187000,0.245765
188000,0.246640
189000,0.247525
190000,0.248427
191000,0.249307
192000,0.250441
193000,0.251302
194000,0.252200
195000,0.253061
196000,0.253919
197000,0.254805
198000,0.255682
199000,0.256813
200000,0.257706
201000,0.258580
202000,0.259461
203000,0.260373
204000,0.261278
205000,0.262434
206000,0.263353
207000,0.264240
208000,0.265136
209000,0.266027
210000,0.266929
211000,0.267846
212000,0.269071
213000,0.270010
