n,t
1000,0.0000001688
2000,0.0000002044
3000,0.0000002294
4000,0.0000002590
5000,0.0000002705
6000,0.0000002646
7000,0.0000002724
8000,0.0000002797
9000,0.0000003073
10000,0.0000002975
11000,0.0000003340
12000,0.0000003168
13000,0.0000003312
14000,0.0000003576
15000,0.0000003539
16000,0.0000003521
17000,0.0000003519
18000,0.0000003522
19000,0.0000003566
20000,0.0000003608
21000,0.0000003654
22000,0.0000003748
23000,0.0000003760
24000,0.0000003795
25000,0.0000003833
26000,0.0000003871
27000,0.0000003933
28000,0.0000003998
29000,0.0000003845
30000,0.0000003870
31000,0.0000003915
32000,0.0000003997
33000,0.0000003972
34000,0.0000003986
35000,0.0000004043
36000,0.0000004095
37000,0.0000004186
38000,0.0000004222
39000,0.0000004227
40000,0.0000004206
41000,0.0000004227
42000,0.0000004289
43000,0.0000004268
44000,0.0000004347
45000,0.0000004377
46000,0.0000004390
47000,0.0000004589
48000,0.0000004452
49000,0.0000004427
50000,0.0000004484
51000,0.0000004515
52000,0.0000004715
53000,0.0000004623
54000,0.0000004654
55000,0.0000005081
56000,0.0000005561
57000,0.0000005978
58000,0.0000008132
59000,0.0000007496
60000,0.0000006515
61000,0.0000004950
62000,0.0000005056
63000,0.0000005590
64000,0.0000006193
65000,0.0000005528
66000,0.0000005186
67000,0.0000005171
68000,0.0000005141
69000,0.0000005429
70000,0.0000005333
71000,0.0000005153
72000,0.0000005457
73000,0.0000005119
74000,0.0000005389
75000,0.0000005199
76000,0.0000005228
77000,0.0000005200
78000,0.0000005383
79000,0.0000005494
80000,0.0000005398
81000,0.0000005466
82000,0.0000005479
83000,0.0000005492
84000,0.0000005552
85000,0.0000005683
86000,0.0000005499
87000,0.0000005744
88000,0.0000005794
89000,0.0000005851
90000,0.0000005790
91000,0.0000005824
92000,0.0000005999
93000,0.0000005880
94000,0.0000005881
95000,0.0000005981
96000,0.0000005998
97000,0.0000005932
98000,0.0000005879
99000,0.0000006189
100000,0.0000006018
101000,0.0000006124
102000,0.0000006176
103000,0.0000006147
104000,0.0000006134
105000,0.0000006187
106000,0.0000006198
107000,0.0000006337
108000,0.0000006142
109000,0.0000006246
110000,0.0000006132
111000,0.0000006093
112000,0.0000006158
113000,0.0000006463
114000,0.0000006248
115000,0.0000006318
116000,0.0000006357
117000,0.0000006301
118000,0.0000006404
119000,0.0000006362
120000,0.0000006279
121000,0.0000006282
122000,0.0000006554
123000,0.0000006698
124000,0.0000006585
125000,0.0000006643
126000,0.0000006642
127000,0.0000006531
128000,0.0000006465
129000,0.0000006725
130000,0.0000006502
131000,0.0000006697
132000,0.0000006737
133000,0.0000006646
134000,0.0000006735
135000,0.0000006807
136000,0.0000006670
137000,0.0000006722
138000,0.0000006989
139000,0.0000006724
140000,0.0000006685
141000,0.0000006850
142000,0.0000006846
143000,0.0000006823
144000,0.0000006884
145000,0.0000006937
146000,0.0000006819
147000,0.0000007185
148000,0.0000006865
149000,0.0000006924
150000,0.0000006991
151000,0.0000006883
152000,0.0000006995
153000,0.0000007106
154000,0.0000007004
155000,0.0000006950
156000,0.0000007116
157000,0.0000006983
158000,0.0000006996
159000,0.0000007264
160000,0.0000007074
161000,0.0000007155
162000,0.0000007161
163000,0.0000007233
164000,0.0000007484
165000,0.0000007119
166000,0.0000007345
167000,0.0000007338
168000,0.0000007167
169000,0.0000007196
170000,0.0000007334
171000,0.0000007387
172000,0.0000007565
173000,0.0000007635
174000,0.0000007454
175000,0.0000007513
176000,0.0000007503
177000,0.0000007532
178000,0.0000007616
179000,0.0000008033
180000,0.0000008466
181000,0.0000008186
182000,0.0000007659
183000,0.0000007755
184000,0.0000007614
185000,0.0000007585
186000,0.0000007819
187000,0.0000007705
188000,0.0000007953
189000,0.0000008006
190000,0.0000007727
191000,0.0000007954
192000,0.0000007791
193000,0.0000007772
194000,0.0000007882
195000,0.0000007921
196000,0.0000007832
197000,0.0000007914
198000,0.0000008221
199000,0.0000008014
200000,0.0000007930
201000,0.0000007892
202000,0.0000007867
203000,0.0000007656
204000,0.0000007882
205000,0.0000008070
206000,0.0000008040
207000,0.0000008162
208000,0.0000007951
209000,0.0000008051
210000,0.0000008205
211000,0.0000008177
212000,0.0000008235
213000,0.0000008058
214000,0.0000008075
215000,0.0000008194
216000,0.0000008216
217000,0.0000008285
218000,0.0000008139
219000,0.0000008116
220000,0.0000008203
221000,0.0000008282
222000,0.0000008234
223000,0.0000008157
224000,0.0000008727
225000,0.0000008412
226000,0.0000008219
227000,0.0000008337
228000,0.0000008355
229000,0.0000008283
230000,0.0000008312
231000,0.0000008269
232000,0.0000008307
233000,0.0000008313
234000,0.0000008199
235000,0.0000008314
236000,0.0000008240
237000,0.0000008361
238000,0.0000008274
239000,0.0000008445
240000,0.0000008485
241000,0.0000008508
242000,0.0000008454
243000,0.0000008271
244000,0.0000008290
245000,0.0000008409
246000,0.0000008415
247000,0.0000008463
248000,0.0000008250
249000,0.0000008403
250000,0.0000008248
251000,0.0000008277
252000,0.0000008375
253000,0.0000008416
